test_case	solution	latency	observation
test_1	correct	0.1767 ms	Output matches expected result
test_2	correct	0.0467 ms	Output matches expected result
test_3	correct	0.0862 ms	Output matches expected result
test_4	correct	0.4165 ms	Output matches expected result
test_5	correct	0.0975 ms	Output matches expected result
test_6	correct	0.1394 ms	Output matches expected result
test_7	correct	0.1039 ms	Output matches expected result
test_8	correct	0.6588 ms	Output matches expected result
test_9	correct	0.0829 ms	Output matches expected result
test_10	correct	0.1494 ms	Output matches expected result
test_11	correct	0.1746 ms	Output matches expected result
test_12	correct	0.1673 ms	Output matches expected result
test_13	correct	0.1643 ms	Output matches expected result
test_14	correct	0.1311 ms	Output matches expected result
test_15	correct	0.2294 ms	Output matches expected result
test_16	correct	0.1082 ms	Output matches expected result
test_17	correct	0.1679 ms	Output matches expected result
test_18	correct	0.3862 ms	Output matches expected result
test_19	correct	0.3468 ms	Output matches expected result
test_20	correct	0.3714 ms	Output matches expected result
test_21	correct	0.4874 ms	Output matches expected result
test_22	correct	0.0679 ms	Output matches expected result
test_23	correct	0.0951 ms	Output matches expected result
test_24	correct	0.0416 ms	Output matches expected result
test_25	correct	0.1022 ms	Output matches expected result
test_26	correct	0.0870 ms	Output matches expected result
test_27	correct	0.0572 ms	Output matches expected result
test_28	correct	0.1130 ms	Output matches expected result
test_29	correct	0.0737 ms	Output matches expected result
test_30	correct	0.1427 ms	Output matches expected result
test_31	correct	0.2258 ms	Output matches expected result
test_32	correct	0.0498 ms	Output matches expected result
test_33	correct	0.3807 ms	Output matches expected result
test_34	correct	0.0857 ms	Output matches expected result
test_35	correct	0.1582 ms	Output matches expected result
test_36	correct	0.1106 ms	Output matches expected result
test_37	correct	0.1159 ms	Output matches expected result
test_38	correct	0.5877 ms	Output matches expected result
test_39	correct	0.0737 ms	Output matches expected result
test_40	correct	0.1435 ms	Output matches expected result
test_41	correct	0.0967 ms	Output matches expected result
test_42	correct	0.0882 ms	Output matches expected result
test_43	correct	0.0308 ms	Output matches expected result
test_44	correct	0.0776 ms	Output matches expected result
test_45	correct	0.4066 ms	Output matches expected result
test_46	correct	0.4181 ms	Output matches expected result
test_47	correct	0.0328 ms	Output matches expected result
test_48	correct	0.3921 ms	Output matches expected result
test_49	correct	0.7805 ms	Output matches expected result
test_50	correct	0.1558 ms	Output matches expected result
SUMMARY	50/50 passed	0.2084 ms	mean ± std over 5 runs
